04/09/2026,MCMASTER HOSPITALITY SALE,3.98,,185.69
04/09/2026,CLAUDE.AI SUBSCRIPTION,31.64,,181.71
04/08/2026,TBJ CONCESSIONS,21.19,,150.07
04/07/2026,ELEVENLABS.IO,8.07,,128.88
04/07/2026,MCMASTER HOSPITALITY SALE,3.98,,120.81
04/06/2026,MCMASTER HOSPITALITY SALE,3.98,,116.83
04/06/2026,PRESTO APPL/RHC9KF9C9G,100.00,,112.85
04/03/2026,MCDONALD'S #6560   Q04,5.19,,12.85
04/02/2026,MCMASTER HOSPITALITY SALE,7.66,,7.66
04/02/2026,PAYMENT - THANK YOU,,110.53,0.00
03/31/2026,MSU-CLUBS,5.00,,110.53
03/31/2026,MCMASTER HOSPITALITY SALE,3.98,,105.53
03/31/2026,MCMASTER HOSPITALITY SALE,1.77,,101.55
03/29/2026,OSMOW'S,2.25,,99.78
03/28/2026,LS Daves Hot Chicken B,20.08,,97.53
03/28/2026,NO FRILLS ROCKY'S #718,2.26,,77.45
03/27/2026,MASJID AL SALAM,10.00,,75.19
03/26/2026,MCDONALD S #9488,9.22,,65.19
03/25/2026,MCMASTER HOSPITALITY SALE,3.98,,55.97
03/22/2026,POPEYES #11614,14.10,,51.99
03/20/2026,HASTY MARKET,2.25,,37.89
03/17/2026,MASJID AL SALAM,10.00,,35.64
03/14/2026,GOOGLE *YouTube Member,5.64,,25.64
03/13/2026,PAYMENT - THANK YOU,,87.05,20.00
03/12/2026,MASJID AL SALAM,10.00,,107.05
03/11/2026,MASJID AL SALAM,10.00,,97.05
